案件编号(由法务填写),证据包编号,合同编号,签署人,序号,证据类型,归档文件名,原始文件名,原始路径,文件大小(字节),签署时间,重签序号,备注
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,25,签署日志,EVI-20260618-HT2025020003-001_未识别签署人_签署日志_重签1.json,sign_log_HT2025020003_王五.json,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sign_log_HT2025020003_王五.json,153,,1,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,26,短信验证记录,EVI-20260618-HT2025020003-001_未识别签署人_短信验证.csv,HT2025020003_短信验证记录_王五.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_短信验证记录_王五.csv,155,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,王五,27,证书链,EVI-20260618-HT2025020003-001_王五_证书链.cer,HT2025020003_王五_证书链_缺少中间证书.cer,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_王五_证书链_缺少中间证书.cer,116,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,王五,28,页面截图,EVI-20260618-HT2025020003-001_王五_截图.png,HT2025020003_王五_签署完成截图.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_王五_签署完成截图.png,160,,0,
AJ2026TEST001,EVI-20260618-HT2025030007-001,HT2025030007,赵六,29,签署日志,EVI-20260618-HT2025030007-001_赵六_签署日志.csv,HT2025030007_赵六_签署日志_2025-03-01_UTC.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025030007_赵六_签署日志_2025-03-01_UTC.csv,115,,0,
AJ2026TEST001,,未分类,,30,短信验证记录,,sms_verify_王五_2025-02-20.txt,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sms_verify_王五_2025-02-20.txt,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,31,短信验证记录,,sms_verify_李四_2025-01-15.txt,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sms_verify_李四_2025-01-15.txt,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,32,短信验证记录,,sms_verify_张三_2025-01-15.txt,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sms_verify_张三_2025-01-15.txt,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,33,证书链,,张三_用户证书_2025-01-15.pem,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/张三_用户证书_2025-01-15.pem,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,34,页面截图,,张三_签署成功页面.jpg,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/张三_签署成功页面.jpg,160,,0,未识别合同编号
AJ2026TEST001,,未分类,,35,页面截图,,李四_签署成功页面.jpg,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/李四_签署成功页面.jpg,160,,0,未识别合同编号
AJ2026TEST001,,未分类,,36,证书链,,李四_用户证书_2025-01-15.pem,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/李四_用户证书_2025-01-15.pem,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,37,页面截图,,王五_签署成功页面.jpg,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/王五_签署成功页面.jpg,160,,0,未识别合同编号
AJ2026TEST001,,未分类,,38,证书链,,王五_用户证书_2025-02-20.pem,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/王五_用户证书_2025-02-20.pem,155,,0,未识别合同编号
AJ2026TEST001,,未分类,,39,电子签合同PDF,,未知来源的文件_乱命名_12345.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/未知来源的文件_乱命名_12345.pdf,105,,0,未识别合同编号
