anomaly_type,wave_no,sku,sku_name,qty_expected,qty_picked,qty_short,qty_supplemented,qty_final_short,picker,warehouse,reviewers,reviewer_count,status,wave_count,qty_over
SKU跨波次重复,W2026060802,SKU013,车载手机支架,9.0,8,,0.0,,钱七,,,,短拣未补,3.0,
SKU跨波次重复,W2026060803,SKU013,车载手机支架,12.0,10,,0.0,,钱七,,,,短拣未补,3.0,
SKU跨波次重复,W2026060805,SKU013,车载手机支架,5.0,5,,0.0,,钱七,,,,完整,3.0,
SKU跨波次重复,W2026060801,SKU014,笔记本散热器,22.0,20,,0.0,,张三,,,,短拣未补,4.0,
SKU跨波次重复,W2026060802,SKU014,笔记本散热器,17.0,17,,0.0,,王五,,,,完整,4.0,
SKU跨波次重复,W2026060804,SKU014,笔记本散热器,20.0,20,,0.0,,赵六,,,,完整,4.0,
SKU跨波次重复,W2026060805,SKU014,笔记本散热器,26.0,26,,0.0,,王五,,,,完整,4.0,
SKU跨波次重复,W2026060802,SKU015,移动硬盘1TB,18.0,18,,0.0,,钱七,,,,完整,2.0,
SKU跨波次重复,W2026060803,SKU015,移动硬盘1TB,10.0,10,,0.0,,王五,,,,完整,2.0,
超拣,W2026060802,SKU005,USB-C数据线2米,8.0,9,,,,王五,,黄C,,,,1.0
超拣,W2026060804,SKU007,无线鼠标静音版,30.0,32,,,,张三,,林B、黄C,,,,2.0
